Nam_Type_Istoch;List_RN
5П9-635;плутоний-239
5П9-636;плутоний-239
5СО;стронций-90; иттрий-90
5СО-132;стронций-90; иттрий-90
5СО-133;стронций-90; иттрий-90
5СО-134;стронций-90; иттрий-90
5СО-135;стронций-90; иттрий-90
5СО-136;стронций-90; иттрий-90
5СО-137;стронций-90; иттрий-90
5СО-138;стронций-90; иттрий-90
5СО-212;стронций-90; иттрий-90
5СО-213;стронций-90; иттрий-90
5СО-214;стронций-90; иттрий-90
5СО-215;стронций-90; иттрий-90
5СО-216;стронций-90; иттрий-90
5СО-217;стронций-90; иттрий-90
5СО-218;стронций-90; иттрий-90
5СО-322;стронций-90; иттрий-90
5СО-323;стронций-90; иттрий-90
5СО-324;стронций-90; иттрий-90
5СО-325;стронций-90; иттрий-90
5СО-326;стронций-90; иттрий-90
5СО-327;стронций-90; иттрий-90
5СО-532;стронций-90; иттрий-90
5СО-533;стронций-90; иттрий-90
5СО-534;стронций-90; иттрий-90
5СО-535;стронций-90; иттрий-90
5СО-536;стронций-90; иттрий-90
5СО-537;стронций-90; иттрий-90
5СО-801;стронций-90; иттрий-90
5СО-802;стронций-90; иттрий-90
5СО-803;стронций-90; иттрий-90
MCo7.162;кобальт-57
MCo7.163;кобальт-57
MCo7.1631;кобальт-57
MCo7.164;кобальт-57
MCo7.165;кобальт-57
MCo7.167;кобальт-57
MCo7.17;кобальт-57
MCo7.171;кобальт-57
MCo7.172;кобальт-57
ИНКМ-Ш20-2;калифорний-252
ИБН-241-15-1;америций-241
ИБН-241-15-2;америций-241
ИБН-241-15-3;америций-241
ИБН-241-15-4;америций-241
НCf2.024;калифорний-252
НCf2.041;калифорний-252
НCf2.041.9;калифорний-252
ЯГР (МО119mГ6.4);олово-119м
У3П8П9-227;уран-233; плутоний-238; плутоний-239
У3П8П9-228;уран-233; плутоний-238; плутоний-239
У3П8П9-229;уран-233; плутоний-238; плутоний-239
У3П8П9-230;уран-233; плутоний-238; плутоний-239
Факт-1;полоний-210
ФГ153М;гадолиний-153
ФГ153М11.410;гадолиний-153
ФГ153М12.110;гадолиний-153
ФГ153М13.410;гадолиний-153
ФГ153М21.150;гадолиний-153
ФГ153М22.60;гадолиний-153
ФГ153М23.300;гадолиний-153
ФГ153М24.10;гадолиний-153
ФГ153М25.10;гадолиний-153
ФГ153М26.1;гадолиний-153
ФГ153М26.12;гадолиний-153
ФГ153М26.2;гадолиний-153
ФГ153М26.20;гадолиний-153
ФГ153М26.3;гадолиний-153
ФГ153М26.4;гадолиний-153
ФГ153М26.7;гадолиний-153
Фотон-А1;америций-241
Фотон-А2;америций-241
Фотон-Ф2;америций-241
Фотон-Ц-2Н;цезий-137
Ц1;цезий-137
Ц1-5;цезий-137
Ц1-6;цезий-137
Ц1-7;цезий-137
Ц2-5;цезий-137
Ц2-6;цезий-137
Ц2-7;цезий-137
Ц2-8;цезий-137
Ц4-7;цезий-137
Ц5-4;цезий-137
Ц6-5;цезий-137
Ц8-6;цезий-137
ШС-4,0;стронций-90; иттрий-90
ЯГР;олово-119м
ЯГР (МО119mГ2.4);олово-119м
ЯГР (МО119mГ4.4);олово-119м
ЯГР (МО119mГ5.4);олово-119м
ЯГР МК57Г5;кобальт-57
ЯГР-ИГИК;кобальт-57
ЯГРИК-57;кобальт-57
ЯГРИК-57-III;кобальт-57
ЯГРИК-57-IV;кобальт-57
ЯГРИК-57-l;кобальт-57
ЯГРИК-57-V;кобальт-57
ЯГРИО;олово-119м
ЯГРИО-119;олово-119м
ЯГРИО-119m;олово-119м
ЯГРИО-119м-1а;олово-119м
ЯГРИО-119м-1б;олово-119м
ЯГРИО-119м-2а;олово-119м
ЯГРИО-119м-2б;олово-119м
LAA (SBZ);цезий-137
LAB;цезий-137
LB 7440;цезий-137
LB 7440B;цезий-137
LB 7440D;цезий-137
LB 7440-D-CR;цезий-137
LS-921;германий-68
LS-921/47;германий-68
LX-34-01;кобальт-60
LX-34-05;кобальт-60
LX-64-04;кобальт-60
MCo7;кобальт-57
MCo7.07;кобальт-57
NER-004R-5M;никель-63
NER588;криптон-85
NER-8170;криптон-85
NI3;никель-63
NI345000001M;никель-63
NI345000002M;никель-63
NI345000005M;никель-63
NI345000010M;никель-63
NI345000015M;никель-63
MSn9.262;олово-119м
MSn9.311;олово-119м
MSn9.312;олово-119м
MSn9.333;олово-119м
MSn9.351;олово-119м
MSn9.352;олово-119м
MSn9.361;олово-119м
MSn9.362;олово-119м
MTe5;теллур-125м
MTe5.11;теллур-125м
MTe5.13;теллур-125м
MTe5.15;теллур-125м
MTe5.16;теллур-125м
NA230000001M;натрий-22
NA230000001U;натрий-22
NA230000010M;натрий-22
NA230000010U;натрий-22
NA230000100U;натрий-22
NA230000500U;натрий-22
NA230250001M;натрий-22
AMN.11;америций-241
AMN.13;америций-241
AMN.15;америций-241
BH3.x;тритий
BH3.X.1;тритий
BIP-50;прометий-147
BIS-50;стронций-90; иттрий-90
BKr5;криптон-85
BKr5.111;криптон-85
BKr5.201;криптон-85
BKr5.212;криптон-85
BKr5.213;криптон-85
BKr5.214;криптон-85
BKr5.222;криптон-85
BKr5.223;криптон-85
BKr5.223;криптон-85
BKr5.226;криптон-85
BKr5.232;криптон-85
